Product,Coupon_Used,TransactionCount
*MISC. LOBBY ITEMS,no,4
ACNE MEDICATIONS,no,1412
ACNE MEDICATIONS,yes,2
ACTIVITY,no,2
ADULT ANALGESICS,no,7745
ADULT ANALGESICS,yes,9
ADULT CEREAL,no,25951
ADULT CEREAL,yes,49
ADULT INCONTINENCE BRIEFS,no,231
ADULT INCONTINENCE GUARDS,no,8
ADULT INCONTINENCE MISC PRODUC,no,370
ADULT INCONTINENCE PADS,no,411
ADULT INCONTINENCE UNDERGARMEN,no,679
ADULT INCONTINENCE UNDERGARMEN,yes,1
ADULT PREMIUM,no,3045
ADULT PREMIUM,yes,7
AEROSOL DEODORANTS,no,880
AEROSOL TOPPINGS,no,4695
AEROSOL TOPPINGS,yes,2
AIR CARE - AEROSOLS,no,246
AIR CARE - AEROSOLS,yes,2
AIR CARE - CANDLES,no,209
AIR CARE - CONTINUOUS - NON EL,no,311
AIR CARE - CONTINUOUS ACTION,no,499
AIR CARE - CONTINUOUS ACTION,yes,3
AIR CARE - DISINFECTANT SPRAYS,no,175
AIR CARE - SANITIZERS,no,68
ALKALINE BATTERIES,no,122
ALKALINE BATTERIES,yes,1
ALL FABRIC DRY BLEACH,no,17
ALL FABRIC LIQUID BLEACH,no,159
ALL FABRIC LIQUID BLEACH,yes,1
ALL FAMILY CEREAL,no,37268
ALL FAMILY CEREAL,yes,43
ALL PURPOSE CLEANERS,no,24
ALMAY,no,650
ALMAY,yes,2
ALMONDS SHELLED,no,1279
ALMONDS SHELLED,yes,2
ALTERNATIVE LITTER,no,222
ALUMINUM FOIL,no,1073
ALUMINUM FOIL,yes,1
ANGUS,no,7060
ANGUS,yes,12
ANGUS BEEF,no,1433
ANGUS BEEF,yes,4
ANTI-ACIDS,no,5771
ANTI-ACIDS,yes,6
ANTIPERSPIRANTS ONLY (AEROSOL),no,1188
ANTIPERSPIRANTS ONLY (ALL OTHE,no,6627
ANTIPERSPIRANTS ONLY (ALL OTHE,yes,3
APPLE JUICE & CIDER (50% AND U,no,96
APPLE JUICE & CIDER (OVER 50%,no,867
APPLE SAUCE,no,1749
APPLE SAUCE,yes,3
APPLE SAUCE/PUDDING,no,29
APPLE SAUCE/PUDDING,yes,1
APPLES BRAEBURN (BULK&BAG),no,1071
APPLES BRAEBURN (BULK&BAG),yes,2
APPLES FUJI (BULK&BAG),no,2043
APPLES FUJI (BULK&BAG),yes,3
APPLES GALA (BULK&BAG),no,9907
APPLES GALA (BULK&BAG),yes,19
APPLES GOLD DELICIOUS (BULK&BA,no,5289
APPLES GOLD DELICIOUS (BULK&BA,yes,6
APPLES GRANNY SMITH (BULK&BAG),no,5398
APPLES GRANNY SMITH (BULK&BAG),yes,4
APPLES OTHER (BULK&BAG),no,4487
APPLES OTHER (BULK&BAG),yes,4
APPLES RED DELICIOUS (BULK&BAG,no,6903
APPLES RED DELICIOUS (BULK&BAG,yes,4
APPLES WEDGE/SLICES,no,1067
APPLES WEDGE/SLICES,yes,5
APPLICATORS,no,504
APRICOTS,no,306
APS,no,1
AQUARIUM NEEDS,no,292
ARRANGEMENTS (NON-ROSE),no,3
ART SUPPLIES,no,4
ASEPTIC PACK JUICE AND DRINKS,no,5072
ASEPTIC PACK JUICE AND DRINKS,yes,7
ASPARAGUS,no,2848
ASPARAGUS,yes,2
AUTHENTIC THAI FOODS,no,128
AUTO DISH DETERGENT - GEL,no,648
AUTO DISH DETERGENT - GEL,yes,1
AUTO DISH DETERGENT - MONODOSE,no,552
AUTO DISH DETERGENT - MONODOSE,yes,1
AUTOMATIC DISHWASHER DETERGENT,no,435
AVOCADO,no,3199
AVOCADO,yes,1
