DEPARTMENT,Total Sales,Total Transactions
AUTOMOTIVE,452.65999999999997,65
CHARITABLE CONT,7.74,2
CHEF SHOPPE,2290.7999999999993,766
CNTRL/STORE SUP,49.05,21
COSMETICS,32360.37000000131,7692
COUP/STR & MFG,1027.7200000000007,817
DAIRY DELI,73.23000000000002,53
DELI,260866.50999994887,62787
DELI/SNACK BAR,36.080000000000005,11
DRUG GM,1055358.0299989951,277232
ELECT &PLUMBING,1.0,1
FLORAL,39653.340000000506,4524
FROZEN GROCERY,653.2599999999999,251
GARDEN CENTER,7667.819999999943,720
GM MERCH EXP,101.1,49
GRO BAKERY,2.18,2
GROCERY,4093814.1400252744,1646076
HBC,9.42,4
HOUSEWARES,2.99,1
KIOSK-GAS,544222.2800000121,22059
MEAT,548786.8099999905,88416
MEAT-PCKGD,412436.76999977475,111957
MEAT-WHSE,7.0,6
MISC SALES TRAN,119960.04000000052,6050
MISC. TRANS.,10678.689999999859,2351
NUTRITION,97669.0400000097,32164
PASTRY,121739.86000002916,38179
PHARMACY SUPPLY,16.92,6
PHOTO,41.40000000000001,17
PORK,15.7,2
POSTAL CENTER,24.009999999999987,20
PROD-WHS SALES,7.52,4
PRODUCE,557452.1099993973,257290
RESTAURANT,1986.7600000000016,465
RX,159.56,14
SALAD BAR,30953.30000000046,9516
SEAFOOD,29496.920000000206,4093
SEAFOOD-PCKGD,63093.619999997936,11216
SPIRITS,21670.88000000014,2119
TOYS,9.84,5
TRAVEL & LEISUR,2550.379999999996,862
VIDEO,34.77,3
VIDEO RENTAL,21.46,5
