STORE_ID,display,SALES_VALUE
286,0,110792.90000000726
286,1,6766.679999999988
286,2,13573.369999999864
286,3,5165.819999999989
286,4,2.0
286,5,9784.539999999924
286,6,97.27000000000002
286,7,1851.610000000004
286,9,6773.10999999998
286,A,127.39999999999989
288,0,299190.0400000341
288,1,10969.36
288,2,24197.170000001093
288,3,17506.30999999931
288,4,26026.12000000038
288,5,26368.560000000907
288,6,8382.799999999941
288,7,34718.62000000132
288,9,25770.240000001777
288,A,9339.459999999997
289,0,408146.1099999714
289,1,23336.53999999982
289,2,16813.160000000003
289,3,40318.19999999938
289,4,1646.580000000005
289,5,59645.86999999589
289,6,25957.520000000237
289,7,54554.999999996005
289,9,25748.950000001405
289,A,1287.2500000000036
292,0,857560.6299997936
292,1,22624.400000000776
292,2,141605.2900000117
292,3,150024.61000002772
292,4,15248.859999999766
292,5,106421.93000000418
292,6,101778.54000000832
292,7,153277.780000018
292,9,172014.2200000372
292,A,63106.45999999603
293,0,355428.0700000449
293,1,7267.449999999955
293,2,32001.240000000398
293,3,22603.990000000347
293,4,6686.830000000001
293,5,26939.57000000048
293,6,15669.579999999441
293,7,13344.969999999608
293,9,20843.56000000025
293,A,5412.789999999956
295,0,368058.17000002344
295,1,13739.150000000154
295,2,40767.76000000071
295,3,27554.550000001174
295,4,1208.3000000000047
295,5,72321.13999999824
295,6,117.66
295,7,28162.940000002713
295,9,48813.80999999788
295,A,1725.0400000000025
296,0,419007.40999998077
296,1,11877.569999999932
296,2,45685.67000000068
296,3,26010.340000000997
296,4,37088.389999999934
296,5,69286.20999999759
296,6,42748.45999999993
296,7,30627.00000000028
296,9,42892.32999999724
296,A,11374.649999999849
297,0,265727.7599999737
297,1,5749.480000000032
297,2,12734.40999999986
297,3,34678.20000000057
297,4,2822.9000000000015
297,5,71319.93999999919
297,6,6519.749999999937
297,7,80115.23999999411
297,9,61209.44999999641
297,A,13404.499999999998
298,0,531564.48000005
298,1,5672.82
298,2,56963.899999997964
298,3,19967.320000000298
298,4,30361.700000000965
298,5,41075.2999999988
298,6,17590.10000000001
298,7,33573.11000000021
298,9,40260.65999999836
298,A,12552.059999999812
299,0,228528.0399999838
299,1,2889.559999999966
299,2,26856.580000001264
299,3,24136.80000000046
299,4,4365.459999999965
299,5,16140.409999999933
299,6,59275.55999999517
299,7,51964.979999997624
299,9,32324.88000000222
299,A,3462.0900000000015
300,0,264857.2099999938
300,1,16472.319999999756
300,2,35013.13000000044
300,3,23382.82000000038
300,4,1262.7700000000027
300,5,64392.74000000123
300,6,1246.2800000000004
300,7,37831.89999999904
300,9,66951.72999999857
300,A,865.3700000000011
304,0,455234.18000000797
304,1,25061.790000001252
304,2,77307.84999999855
304,3,37728.030000000144
304,4,11312.52999999998
304,5,61015.28999999928
304,6,23535.830000000537
304,7,36681.13999999937
304,9,139766.7100000064
304,A,2030.7600000000016
306,0,395736.77999998257
306,1,10467.839999999886
306,2,35478.39000000114
306,3,33617.57000000112
306,4,1953.5400000000077
306,5,24368.52000000075
306,6,44968.989999998004
306,7,84499.969999998
306,9,30991.58000000145
306,A,14084.689999999957
309,0,234115.1300000122
309,1,12427.18
309,2,43971.59000000006
309,3,19395.159999999956
309,4,3800.0599999999663
309,5,14373.089999999855
309,6,22495.950000000546
309,7,51743.31000000125
309,9,34847.03000000089
309,A,10814.550000000034
310,0,367006.4799999809
310,1,23025.150000000303
310,2,84865.10999999708
310,3,60462.71999999611
310,4,1026.9399999999996
310,5,44692.9099999992
310,6,2032.740000000005
310,7,77646.52999999758
310,9,123481.60000002602
310,A,9.49
311,0,473990.3299999806
311,1,21908.850000000446
311,2,39121.360000000765
311,3,16667.210000000123
311,4,41627.71000000004
311,5,59248.03999999709
311,6,16374.63999999986
311,7,35264.220000000336
311,9,26307.520000000994
311,A,16786.26000000014
313,0,387323.1200000336
313,1,27191.840000000182
313,2,56312.81999999946
313,3,41838.73999999945
313,4,1263.6199999999994
313,5,47400.40999999972
313,6,29039.12000000136
313,7,67492.78999999675
313,9,60350.69999999387
313,A,8894.409999999965
315,0,421099.08999992994
315,1,11310.38999999993
315,2,44933.19000000032
315,3,38385.77000000012
315,4,37259.920000001766
315,5,51307.81999999978
315,6,67251.45999999769
315,7,24587.280000000046
315,9,181081.2699999869
315,A,7479.770000000013
316,0,391048.47999997565
316,1,26614.67000000016
316,2,17741.57
316,3,26792.14000000104
316,4,198.22000000000006
316,5,26859.470000001016
316,6,30139.99000000029
316,7,43512.11999999955
316,9,24625.000000000528
316,A,820.5800000000006
317,0,239161.35000000405
317,1,9110.879999999886
317,2,63260.14999999559
317,3,40084.109999999695
317,4,8977.709999999915
317,5,43168.66999999926
317,6,34086.860000000815
317,7,14140.480000000085
317,9,168607.1799999843
317,A,1277.4600000000007
318,0,503870.45000003296
318,1,12292.390000000136
318,2,111723.83000001806
318,3,43176.799999998926
318,4,25540.24000000094
318,5,89304.02000000502
318,6,10556.979999999847
318,7,69071.02999999639
318,9,140619.67000001148
318,A,26622.4899999998
319,0,633677.310000015
319,1,33932.31000000097
319,2,59952.33999999959
319,3,60577.09999999695
319,4,1226.2800000000018
319,5,57849.049999997915
319,6,50692.86999999603
319,7,85975.2799999997
319,9,70043.21999999855
319,A,9854.299999999863
320,0,453460.4099999781
320,1,9311.550000000068
320,2,66809.58999999636
320,3,37129.760000000024
320,4,12934.670000000157
320,5,46163.82999999814
320,6,38732.210000000305
320,7,99603.65000000322
320,9,97174.86000000962
320,A,19630.670000000253
321,0,668544.3999999701
321,1,16851.410000000466
321,2,71060.17999999804
321,3,96919.68000001673
321,4,14335.229999999981
321,5,56429.189999997405
321,6,40398.479999999
