household_key,BASKET_ID,coup_user,COUPON_UPC
1,86,yes,5
2,45,no,0
3,47,no,0
4,30,no,0
5,40,no,0
6,250,no,0
7,59,no,0
8,113,yes,1
9,20,no,0
10,9,no,0
11,5,no,0
12,7,no,0
13,275,yes,21
14,140,yes,3
15,55,no,0
16,98,no,0
17,124,no,0
18,163,yes,8
19,421,yes,1
20,387,no,0
21,27,no,0
22,136,yes,25
23,110,no,0
24,74,no,0
25,94,no,0
26,113,no,0
27,405,no,0
28,125,no,0
29,69,yes,1
30,28,no,0
31,69,yes,2
32,116,no,0
33,52,no,0
34,36,no,0
35,60,no,0
36,221,no,0
37,63,no,0
38,27,no,0
39,64,no,0
40,400,yes,14
41,73,no,0
42,89,no,0
43,106,no,0
44,32,no,0
45,57,no,0
46,137,yes,2
47,111,no,0
48,50,no,0
49,121,no,0
50,15,no,0
51,83,no,0
52,139,no,0
53,56,no,0
54,11,no,0
55,141,no,0
56,201,yes,2
57,194,no,0
58,268,yes,7
59,44,no,0
60,8,no,0
61,11,no,0
62,33,no,0
63,33,no,0
64,264,no,0
65,122,no,0
66,29,no,0
67,227,yes,33
68,553,yes,1
69,183,no,0
70,32,no,0
71,90,no,0
72,107,no,0
73,164,no,0
74,131,no,0
75,64,no,0
76,16,no,0
77,87,yes,1
78,210,no,0
79,154,yes,1
80,94,yes,1
81,152,no,0
82,51,no,0
83,110,no,0
84,52,no,0
85,282,no,0
86,46,no,0
87,45,no,0
88,229,yes,7
89,11,no,0
90,10,no,0
91,181,no,0
92,57,no,0
93,106,yes,8
94,36,no,0
95,308,no,0
96,59,no,0
97,180,no,0
98,205,no,0
99,255,yes,4
100,33,no,0
101,242,yes,5
102,8,no,0
103,51,no,0
104,128,yes,4
105,169,yes,8
106,67,no,0
107,41,no,0
108,62,no,0
109,104,no,0
110,185,no,0
111,51,no,0
112,80,no,0
113,223,yes,2
114,88,no,0
115,201,yes,19
116,83,no,0
117,94,yes,7
118,90,no,0
119,62,no,0
120,19,no,0
121,112,no,0
122,132,no,0
123,174,no,0
124,61,no,0
125,358,yes,2
126,31,no,0
127,191,yes,4
128,41,no,0
129,40,no,0
130,20,no,0
131,354,no,0
132,98,no,0
133,75,no,0
134,86,no,0
135,74,no,0
136,77,no,0
137,38,no,0
138,68,no,0
139,83,yes,9
140,140,no,0
141,52,no,0
142,176,no,0
143,408,yes,3
144,88,no,0
145,59,no,0
146,41,no,0
147,36,no,0
148,55,no,0
149,215,no,0
150,6,no,0
151,49,no,0
152,37,no,0
153,92,no,0
154,30,no,0
155,52,no,0
156,587,yes,2
157,172,no,0
158,180,yes,1
159,86,no,0
160,57,no,0
161,266,no,0
162,71,no,0
163,17,no,0
164,116,yes,6
165,174,yes,2
166,122,no,0
167,20,no,0
168,37,no,0
169,24,no,0
170,45,no,0
171,25,no,0
172,159,no,0
173,10,no,0
174,27,no,0
175,51,no,0
176,23,no,0
177,50,no,0
178,119,no,0
179,38,no,0
180,68,no,0
181,39,no,0
182,36,no,0
183,136,no,0
184,257,yes,4
185,68,no,0
186,3,no,0
187,59,no,0
188,43,no,0
189,38,no,0
190,23,no,0
191,34,no,0
192,95,yes,2
193,136,no,0
194,73,no,0
195,91,no,0
196,186,yes,5
197,55,no,0
198,461,no,0
199,54,no,0
200,80,no,0
201,48,no,0
202,37,no,0
203,42,no,0
204,57,no,0
205,106,no,0
206,15,no,0
207,21,no,0
208,140,yes,6
209,196,no,0
210,147,no,0
211,112,no,0
212,109,no,0
213,9,no,0
214,86,yes,1
215,142,yes,2
216,120,no,0
217,65,no,0
218,164,no,0
219,228,no,0
220,91,no,0
221,79,no,0
222,130,yes,1
223,118,no,0
